Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
Forever_New_Adults-Women_Women_Cream_Fashion_Summer_2011_Casual_Blended_Garment_Measurements_in_Jack,0.5447402,0.49735928,0.6363821,0.5152575,0.39055496,0.67046356
Femella_Adults-Women_Women_Blue_Fashion_Summer_2017_Casual_Garment_Measurements_in_Nightdress_Appare,0.5703892,0.42618564,0.63674265,0.39771932,0.33188763,0.5302544
Arrow_Adults-Men_Men_Black_Fashion_Summer_2012_Formal_Formal_Shoes_Footwear_Shoes,0.57395077,0.52149904,0.6350322,0.6168066,0.5515263,0.67228687
United_Colors_of_Benetton_Adults-Women_Women_Lavender_Fashion_Summer_2011_Casual_Scarves_Accessories,0.552694,0.5141978,0.59304893,0.4659461,0.36120936,0.55215776
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Sports_Sports_Shoes_Footwear_Shoes,0.49778262,0.42833626,0.5281193,0.4231917,0.34018016,0.49545062
Fossil_Adults-Women_Women_Grey_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets,0.5259116,0.47414687,0.58002055,0.4478262,0.3632198,0.5358044
ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts,0.3566274,0.28950715,0.42896166,0.3478555,0.33022887,0.37516677
Gini_and_Jony_Kids-Boys_Boys_Yellow_Fashion_Summer_2012_Casual_Regular_Fit_Solid_Garment_Measurement,0.5468434,0.47424936,0.663883,0.54953325,0.42818695,0.6424817
U.S._Polo_Assn._Adults-Men_Men_Navy_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measur,0.56120354,0.51026344,0.61043996,0.53448313,0.45541206,0.58312786
French_Connection_Adults-Women_Women_Maroon_Fashion_Summer_2012_Casual_Clutches_Accessories_Bags,0.5602993,0.50691307,0.61490583,0.43116006,0.27603114,0.52739465
Catwalk_Adults-Women_Women_Green_Fashion_Winter_2015_Casual_Sandals_Open_Toe_Ankle_Loop_Casual_Block,0.383897,0.349292,0.42753938,0.35653633,0.3352894,0.38891524
Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles,0.52099895,0.45511627,0.6052433,0.49561876,0.4370631,0.52178895
Little_Miss_Adults-Women_Women_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurement,0.55933005,0.4768201,0.6561748,0.59352267,0.5374253,0.6723608
,0.519589848461538,0.45568356,0.585884127692308,0.475035163076923,0.39524731,0.551357967692308
